C_CODE,C_STATE,C_DESCR,C_DRYMATTER_G,C_WATER_G,C_ENERG_KCAL,C_PROTEIN_G,C_LIPID_TOT_G,C_CARBOHYDRT_G,C_FIBER_TD_G,C_CALCIUM_MG,C_IRON_MG,C_ZINC_MG,C_VIT_C_MG,C_THIAMIN_MG,C_RIBOFLAVIN_MG,C_NIACIN_MG,C_VIT_B6_MG,C_FOLATE_TOT_MCG,C_FOLIC_ACID_MCG,C_FOOD_FOLATE_MCG,C_FOLATE_MCG_DFE,C_VIT_B12_MCG,C_VIT_A_IU,C_VIT_A_MCG_RAE,C_RETINOL_MCG,C_ALPHA_CAROT_MCG,C_BETA_CAROT_MCG,C_BETA_CRYPT_MCG
1,1,"BAJRA, RAW",87.6,12.4,361,11.6,5,67.5,11,42,8,3.1,0,0.33,0.25,2.3,0,46,0,46,46,0,0,0,0,0,132,0
2,1,"BARLEY, RAW",87.5,12.5,336,11.5,1.3,69.6,0,26,1.7,1.2,0,0.47,0.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0
3,1,ITALIAN MILLET,88.8,11.2,331,12.3,4.3,60.9,0,31,2.8,2.4,0,0.59,0.11,3.2,0,15,4,4,4,0,0,0,0,0,32,0
4,1,JOWAR RAW,88.1,11.9,349,10.4,1.9,72.6,8,25,4.1,1.6,0,0.37,0.13,3.1,0.21,20,0,20,20,0,0,0,0,0,47,0
5,1,MAIZE DRY,85.1,14.9,342,11.1,3.6,66.2,12,10,2.3,2.8,0,0.42,0.1,1.8,0,20,0,20,20,0,0,0,0,0,90,0
6,1,MAIZE TENDER,32.9,67.1,125,4.7,0.9,24.6,0,9,1.1,0,6,0.11,0.17,0.6,0,0,0,0,0,0,0,0,0,0,32,0
7,1,PANIVARAGU,88.1,11.9,341,12.5,1.1,70.4,0,14,0.8,1.4,0,0.2,0.18,2.3,0,0,0,0,0,0,0,0,0,0,0,0
8,1,RAGI RAW,86.9,13.1,328,7.3,1.3,72,12,344,3.9,2.3,0,0.42,0.19,1.1,0,18,0,18,18,0,0,0,0,0,42,0
9,1,RICE PARBOILED HANDPOUNDED,87.4,12.6,349,8.5,0.6,77.4,0,10,2.8,1.4,0,0.27,0.12,4,0,0,0,0,0,0,0,0,0,0,9,0
10,1,RICE PARBOILED MILLED,86.7,13.3,340,6.4,0.4,79,0,9,1,1.4,0,0.21,0.05,3.8,0.24,11,0,11,11,0,0,0,0,0,0,0
11,1,RICE RAW HANDPOUNDED,86.7,13.3,346,7.5,1,76.7,0,10,3.2,1.4,0,0.21,0.16,3.9,0,0,0,0,0,0,0,0,0,0,2,0
12,1,RICE RAW MILLED,86.3,13.7,345,6.8,0.5,78.2,4,10,0.7,1.3,0,0.06,0.06,1.9,0,8,0,8,8,0,0,0,0,0,0,0
13,1,RICE BRAN,89,11,393,13.5,16.2,48.4,0,67,35,1.3,0,2.7,0.48,29.8,0,0,0,0,0,0,0,0,0,0,0,0
14,1,RICE FLAKES,87.8,12.2,346,6.6,1.2,77.3,0,20,20,0,0,0.21,0.05,4,0,0,0,0,0,0,0,0,0,0,0,0
15,1,RICE PUFFED,85.3,14.7,325,7.5,0.1,73.6,0,23,6.6,0,0,0.21,0.01,4.1,0,0,0,0,0,0,0,0,0,0,0,0
16,1,SAMAI,88.5,11.5,341,7.7,4.7,67,0,17,9.3,3.7,0,0.3,0.09,3.2,0,9,0,9,9,0,0,0,0,0,0,0
17,1,SANWA MILLET,88.1,11.9,307,6.2,2.2,65.5,0,20,5,3,0,0.33,0.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0
18,1,VARAGU RAW,87.2,12.8,309,8.3,1.4,65.9,0,27,0.5,0.7,0,0.33,0.09,2,0,23,0,23,23,0,0,0,0,0,0,0
19,1,WHEAT BULGAR PARBOILED,90.2,9.8,356,8.2,1.6,77.2,0,37,4.9,0,0,0.74,0.11,4.8,0,0,0,0,0,0,0,0,0,0,0,0
20,1,WHEAT WHOLE,87.2,12.8,346,11.8,1.5,71.2,13,41,5.3,2.7,0,0.45,0.17,5.5,0.57,37,0,37,37,0,0,0,0,0,64,0
21,1,WHEAT FLOUR WHOLE,87.8,12.2,341,12.1,1.7,69.4,0,48,4.9,2.2,0,0.49,0.17,4.3,0,36,0,36,36,0,0,0,0,0,29,0
22,1,WHEAT FLOUR REFINED,86.7,13.3,348,11,0.9,73.9,0,23,2.7,0.6,0,0.12,0.07,2.4,0,0,0,0,0,0,0,0,0,0,25,0
23,1,WHEAT GERM,94.8,5.2,397,29.2,7.4,53.3,13,40,6,0,0,1.4,0.54,2.9,0,0,0,0,0,0,0,0,0,0,0,0
24,1,WHEAT SEMOLINA,100,0,348,10.4,0.8,74.8,0,16,1.6,0,0,0.12,0.03,1.6,0,0,0,0,0,0,0,0,0,0,0,0
25,1,WHEAT VERMICELLI,88.3,11.7,352,8.7,0.4,78.3,0,22,2,0,0,0.19,0.05,1.8,0,0,0,0,0,0,0,0,0,0,0,0
26,6,WHEAT BREAD BROWN,61,39,244,8.8,1.4,49,0,18,2.2,0,0,0.21,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
27,6,WHEAT BREAD WHITE,61,39,245,7.8,0.7,51.9,0,11,1.1,0,0,0.07,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
28,1,BENGAL GRAM WHOLE,90.2,9.8,360,17.1,5.3,60.9,28,202,4.6,6.1,3,0.3,0.15,2.9,0,186,0,186,186,0,0,0,0,0,189,0
29,1,BENGAL GRAM DAL,90.1,9.9,378,20.8,5.6,59.8,15,56,4.6,1.7,1,0.48,0.18,2.4,0,148,0,148,148,0,0,0,0,0,129,0
30,5,BENGAL GRAM ROASTED,89.3,10.7,369,22.5,5.2,58.1,0,58,9.5,0,0,0.2,0,1.3,0,139,0,139,139,0,0,0,0,0,113,0
31,1,BLACK GRAM DHAL,89.1,10.9,347,24,1.4,59.6,12,154,3.8,3,0,0.42,0.2,2,0,132,0,132,132,0,0,0,0,0,38,0
32,1,COW PEA,86.6,13.4,323,24.1,1,54.5,0,77,8.6,4.6,0,0.51,0.2,1.3,0,133,0,133,133,0,0,0,0,0,12,0
33,1,FIELD BEAN DRY,90.4,9.6,347,24.9,0.8,60.1,0,60,2.7,0,0,0.52,0.16,1.8,0,0,0,0,0,0,0,0,0,0,0,0
34,1,GREEN GRAM WHOLE,89.6,10.4,334,24,1.3,56.7,17,124,4.4,3,0,0.47,0.27,2.1,0,0,0,0,0,0,0,0,0,0,94,0
35,1,GREEN GRAM DHAL,89.9,10.1,348,24.5,1.2,59.9,8,75,3.9,2.8,0,0.47,0.21,2.4,0,140,0,140,140,0,0,0,0,0,49,0
36,1,HORSE GRAM WHOLE,88.2,11.8,321,22,0.5,59.9,0,287,6.7,2.8,1,0.42,0.2,1.5,0,0,0,0,0,0,0,0,0,0,71,0
37,1,KHESARI DHAL,90,10,345,28.2,0.6,56.6,0,90,6.3,0,0,0.39,0.17,2.9,0,0,0,0,0,0,0,0,0,0,120,0
38,1,LENTIL,87.6,12.4,343,25.1,0.7,59,10,69,7.5,3.1,0,0.45,0.2,2.6,0,36,0,36,36,0,0,0,0,0,270,0
39,1,MOTH BEANS,89.2,10.8,330,23.6,1.1,56.5,0,202,9.5,0,2,0.45,0.09,1.5,0,0,0,0,0,0,0,0,0,0,9,0
40,1,PEAS GREEN,27.1,72.9,93,7.2,0.1,15.9,7,20,1.5,0,9,0.25,0.01,0.8,0,0,0,0,0,0,0,0,0,0,83,0
41,1,PEAS DRY,84,16,315,19.7,1.1,56.5,0,75,7.6,2.3,0,0.47,0.19,3.4,0,8,0,8,8,0,0,0,0,0,39,0
42,5,PEAS ROASTED,89.9,10.1,340,22.9,1.4,58.8,0,81,6.4,0,0,0.47,0.21,3.5,0,0,0,0,0,0,0,0,0,0,18,0
43,1,RAJMAH,88,12,346,22.9,1.3,60.8,0,260,5.1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,REDGRAM DHAL,86.6,13.4,335,22.3,1.7,57.6,9,73,2.7,0.9,0,0.45,0.19,2.9,0.54,103,0,103,103,0,0,0,0,0,132,0
45,1,RED GRAM TENDER,34.9,65.1,116,9.8,1,16.9,23,57,1.1,0,25,0.32,0.33,3,0,0,0,0,0,0,0,0,0,0,469,0
46,1,SOYABEAN,91.9,8.1,432,43.2,19.5,20.9,23,240,10.4,3.4,0,0.73,0.39,3.2,0,100,0,100,100,0,0,0,0,0,426,0
47,1,AGATHI,26.9,73.1,93,8.4,1.4,11.8,8,1130,3.9,0,169,0.21,0.09,1.2,0,0,0,0,0,0,0,0,0,0,5400,0
48,1,AMARANTH CAUDATUS,10,90,26,3,0.7,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,AMARANTH GANGETICUS TENDER,14.3,85.7,45,4,0.5,6.1,4,397,3.5,0.2,99,0.03,0.3,1.2,0,149,0,149,149,0,0,0,0,0,5520,0
50,1,AMARANTH GANGETICUS STEM,7.5,92.5,19,0.9,0.1,3.5,0,260,1.8,0,10,0.01,0.18,0,0,0,0,0,0,0,0,0,0,0,255,0
51,1,AMARANTH PANICULATUS,21.4,78.6,67,5.9,1,8.6,0,530,18.4,0,81,0.01,0.24,1.1,0,0,0,0,0,0,0,0,0,0,14190,0
52,1,AMARANTH POLYGONOIDES,10,90,33,2.8,0.3,4.8,0,251,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,AMARANTH SPINOSUS,15,85,43,3,0.3,7,0,800,22.9,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3564,0
54,1,AMARANTH SPECIES,19.4,80.6,57,4.5,0.6,8.5,0,321,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,AMARANTH SPECIES KOYAKEERAI,12,88,37,2.8,0.5,5.3,0,292,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,AMARANTH TRISTIS,13,87,44,2.8,0.4,7.4,0,364,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,AMARANTH VIRIDIS,18.2,81.8,38,5.2,0.3,3.8,0,330,18.7,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,AMBAT CHUKA,4.8,95.2,15,1.6,0.3,1.4,3,63,0.7,0.3,12,0.03,0.06,0.2,0,125,0,125,125,0,0,0,0,0,3660,0
59,1,BATHUA LEAVES,10.4,89.6,30,3.7,0.4,2.9,0,150,4.2,0,35,0.01,0.14,0.6,0,0,0,0,0,0,0,0,0,0,1740,0
60,1,BEET GREENS,13.6,86.4,46,3.4,0.8,6.5,0,380,16.2,0,70,0.26,0.56,3.3,0,0,0,0,0,0,0,0,0,0,5862,0
61,1,BENGAL GRAM LEAVES,26.6,73.4,97,7,1.4,14.1,0,340,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,BETEL LEAVES,14.6,85.4,44,3.1,0.8,6.1,0,230,10.6,3.4,5,0.07,0.03,0.7,0,0,0,0,0,0,0,0,0,0,5760,0
63,1,BOTTLE GOURD LEAVES,12.1,87.9,39,2.3,0.7,6.1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,BROAD BEAN LEAVES,22.4,77.6,71,5.6,0.3,11.5,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,BRUSSELS SPROUTS,14.5,85.5,52,4.7,0.5,7.1,0,43,1.8,0,72,0.05,0.16,0.4,0,0,0,0,0,0,0,0,0,0,126,0
66,1,CABBAGE,8.1,91.9,27,1.8,0.1,4.6,3,39,0.8,0.3,124,0.06,0.09,0.4,0,23,0,23,23,0,0,0,0,0,120,0
67,1,CABBAGE LEAVES,23.4,76.6,77,5.1,0.5,13.1,0,340,8.8,0,79,0.04,0.37,2.1,0,0,0,0,0,0,0,0,0,0,5700,0
68,1,CAULIFLOWER GREENS,20,80,66,5.9,1.3,7.6,0,626,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,CELERY LEAVES,12,88,37,6.3,0.6,1.6,0,230,6.3,0,62,0,0.11,1.2,0,0,0,0,0,0,0,0,0,0,3990,0
70,1,CELERY STALK,6.5,93.5,18,0.8,0.1,3.5,0,30,4.8,0,6,0.12,0.05,0.3,0,0,0,0,0,0,0,0,0,0,520,0
71,1,CHEKKUR MANIS,26.4,73.6,103,6.8,3.2,11.6,0,570,28,0,247,0.48,0.32,2.6,0,0,0,0,0,0,0,0,0,0,5706,0
72,1,COLOCASIA LEAVES BLACK VARIETY,21.2,78.8,77,6.8,2,8.1,0,460,0.9,0,63,0.06,0.45,1.9,0,0,0,0,0,0,0,0,0,0,12000,0
73,1,COLOCASIA LEAVES GREEN VARIETY,17.3,82.7,56,3.9,1.5,6.8,7,227,10,0,12,0.22,0.26,1.1,0,0,0,0,0,0,0,0,0,0,10278,0
74,1,COLOCASIA LEAVES DRIED,90.7,9.3,277,13.7,5.9,42.3,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,CORIANDER LEAVES,13.7,86.3,44,3.3,0.6,6.3,4,184,1.4,0.3,135,0.05,0.06,0.8,0,0,0,0,0,0,0,0,0,0,6918,0
76,1,COW PEA LEAVES,11,89,38,3.4,0.7,4.1,0,290,20.1,0,4,0.05,0.18,0.6,0,0,0,0,0,0,0,0,0,0,6702,0
77,1,CURRY LEAVES,36.2,63.8,108,6.1,1,18.7,16,830,0.9,0.2,4,0.08,0.21,2.3,0,94,0,94,94,0,0,0,0,0,7560,0
78,1,DRUMSTIK LEAVES,24.1,75.9,92,6.7,1.7,12.5,9,440,0.8,0.2,220,0.06,0.05,0.8,0,0,0,0,0,0,0,0,0,0,6780,0
79,1,FENUGREEK LEAVES,13.9,86.1,49,4.4,0.9,6,5,395,1.9,0.3,52,0.04,0.31,0.8,0,0,0,0,0,0,0,0,0,0,2340,0
80,1,FETID CASSIA FRESH,15.1,84.9,49,5,0.8,5.5,0,520,12.4,0,82,0.08,0.19,0.8,0,0,0,0,0,0,0,0,0,0,10152,0
81,1,FETID CASSIA DRIED,90.3,9.7,292,20.7,3.9,43.5,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,GARDEN CRESS,17.7,82.3,67,5.8,1,8.7,0,360,28.6,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,GARDEN SORREL SEPEALS,8.1,91.9,25,0.6,0.2,5.1,0,130,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,GOGU,13.6,86.4,56,1.7,1.1,9.9,4,172,2.2,0.2,20,0.07,0.39,1.1,0,0,0,0,0,0,0,0,0,0,2898,0
85,1,IPOMOEA STEMS,6.3,93.7,19,0.9,0.2,3.4,0,80,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,IPOMOEA LEAVES,9.7,90.3,28,2.9,0.4,3.1,0,110,3.9,0,37,0.05,0.13,0.6,0,0,0,0,0,0,0,0,0,0,1980,0
87,1,KNOL-KHOL GREENS,13.3,86.7,43,3.5,0.4,6.4,0,740,13.3,0,157,0.25,0,3,0,0,0,0,0,0,0,0,0,0,4146,0
88,1,KUPPAMENI,19.5,80.5,64,6.7,1.4,6,0,667,17.3,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,LETTUCE,6.6,93.4,21,2.1,0.3,2.5,0,50,2.4,0,10,0.09,0.13,0.5,0,0,0,0,0,0,0,0,0,0,990,0
90,1,LETTUCE TREE LEAVES MATURE,18.3,81.7,65,5.1,0.4,10.2,0,320,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,LETTUCE TREE LEAVES TENDER,9.8,90.2,29,3.6,0.2,3.2,0,170,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,MANATHAKKALI LEAVES,17.9,82.1,68,5.9,1,8.9,0,410,20.5,0,11,0,0.59,0.9,0,0,0,0,0,0,0,0,0,0,0,0
93,1,MAYALU,9.2,90.8,32,2.8,0.4,4.2,3,200,10,0,87,0.03,0.16,0.5,0,0,0,0,0,0,0,0,0,0,7440,0
94,1,MINT,15.1,84.9,48,4.8,0.6,5.8,6,200,15.6,0.4,27,0.05,0.26,1,0,114,0,114,114,0,0,0,0,0,1620,0
95,1,MODAKANTHAN KEERAI,16.7,83.3,61,4.7,0.6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,MUKARRATE KEERAI,15.5,84.5,61,6.1,0.9,7.2,0,667,18.4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,MUSTARD LEAVES,10.2,89.8,34,4,0.6,3.2,0,155,16.3,0,33,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2622,0
98,1,NERRINGI,20.9,79.1,68,7.2,0.5,8.6,0,1550,9.2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,PARSLEY,25.4,74.6,87,5.9,1,13.5,0,390,17.9,0,281,0.04,0.18,0.5,0,0,0,0,0,0,0,0,0,0,1920,0
100,1,PARUPPU KEERAI,9.5,90.5,27,2.4,0.6,2.9,4,111,14.8,0,29,0.1,0.22,0.7,0,0,0,0,0,0,0,0,0,0,2292,0
101,1,PONNANGANNI,22.6,77.4,73,5,0.7,11.6,8,510,1.6,0,17,0,0.14,1.2,0,0,0,0,0,0,0,0,0,0,1926,0
102,1,PUMPKIN LEAVES,18.1,81.9,57,4.6,0.8,7.9,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,RADISH LEAVES,9.2,90.8,28,3.8,0.4,2.4,0,265,0.1,0.1,81,0.18,0.47,0.8,0,0,0,0,0,0,0,0,0,0,5295,0
104,1,RADISH LEAVES TABLE,10.9,89.1,38,3.9,0.6,4.2,0,310,18,0,106,0.18,0.35,5.5,0,0,0,0,0,0,0,0,0,0,5742,0
105,1,RAPE STEM,8.6,91.4,29,3.1,0.1,4,0,100,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,RAPE LEAVES,15.1,84.9,48,5.1,0.4,48,0,370,12.5,0,65,0.01,0.03,0.9,0,0,0,0,0,0,0,0,0,0,1380,0
107,1,RAPE LEAVES DRIED,92.6,7.4,297,27,2.9,40.7,0,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,SAFFLOWER LEAVES,8.9,91.1,33,2.5,0.9,4.5,0,185,5.7,0,15,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,3540,0
109,1,SHEPU,12,88,37,3,0.5,5.2,0,190,17.4,0,0,0.03,0.13,0.2,0,0,0,0,0,0,0,0,0,0,7182,0
110,1,SPINACH,7.9,92.1,26,2,0.7,2.9,3,73,1.1,0.3,28,0.03,0.26,0.5,0,123,0,123,123,0,0,0,0,0,5580,0
111,1,SPINACH STALKS,6.6,93.4,20,0.9,0.1,3.8,0,90,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,SUSNI SAG,13.1,86.9,46,3.7,1.4,4.6,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,TAMARIND LEAVES TENDER,29.5,70.5,115,5.8,2.1,18.2,11,101,0.3,0.2,3,0.24,0.17,4.1,0,0,0,0,0,0,0,0,0,0,250,0
114,1,TURNIP GREENS,18.1,81.9,67,4,1.5,9.4,0,710,28.4,0,180,0.31,0.57,5.4,0,0,0,0,0,0,0,0,0,0,9396,0
115,1,ARROW ROOT FLOUR,83.5,16.5,334,0.2,0.1,83.1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,BANANA RHIZOME,14.9,85.1,51,0.4,0.2,11.8,0,25,1.1,0,1,0,0.03,0.2,0,0,0,0,0,0,0,0,0,0,16,0
117,1,BEET ROOT,12.3,87.7,43,1.7,0.1,8.8,4,18,1.2,0.9,10,0.04,0.09,0.4,0,0,0,0,0,0,0,0,0,0,0,0
118,1,CARROT,14,86,48,0.9,0.2,10.6,4,80,1,0.4,3,0.04,0.02,0.6,0,15,0,15,15,0,0,0,0,0,1890,0
119,1,COLOCASIA,26.9,73.1,97,3,0.1,21.1,0,40,0.4,0.3,0,0.09,0.03,0.4,0,54,0,54,54,0,0,0,0,0,24,0
120,1,KHAMALU,20.4,79.6,79,1.3,0.1,18.1,0,16,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,MANGO GINGER,15,85,53,1.1,0.7,10.5,0,25,2.6,0,1,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,20,0
122,1,ONION BIG,13.4,86.6,50,1.2,0.1,11.1,2,47,0.6,0.4,11,0.08,0.01,0.4,0,6,0,6,6,0,0,0,0,0,0,0
123,1,ONION SMALL,15.7,84.3,59,1.8,0.1,12.6,0,40,1.2,0,2,0.08,0.02,0.5,0,0,0,0,0,0,0,0,0,0,15,0
124,1,PARSNIP,27.6,72.4,101,1.3,0.3,23.2,0,50,0.5,0,16,0.06,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
125,1,POTATO,25.3,74.7,97,1.6,0.1,22.6,2,10,0.4,0.5,17,0.1,0.01,1.2,0,7,0,7,7,0,0,0,0,0,24,0
126,1,RADISH PINK,9.2,90.8,32,0.6,0.3,6.8,0,50,0.3,0.6,17,0.06,0.02,0.4,0,0,0,0,0,0,0,0,0,0,3,0
127,1,RADISH RAT TAILED,7.7,92.3,25,1.3,0.3,4.3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,RADISH TABLE,5.1,94.9,16,0.5,0.1,3.2,2,20,1,0,21,0.02,0.03,1.4,0,0,0,0,0,0,0,0,0,0,4,0
129,1,RADISH WHITE,5.6,94.4,17,0.7,0.1,3.4,0,35,0.4,0,15,0.06,0.02,0.5,0,0,0,0,0,0,0,0,0,0,3,0
