G_Number,G_Descr,G_Food_Code,G_Food_Descr
1,Cereal,1,"BAJRA, RAW"
1,Cereal,2,"BARLEY, RAW"
1,Cereal,3,ITALIAN MILLET
1,Cereal,4,JOWAR RAW
1,Cereal,5,MAIZE DRY
1,Cereal,6,MAIZE TENDER
1,Cereal,7,PANIVARAGU
1,Cereal,8,RAGI RAW
1,Cereal,9,RICE PARBOILED HANDPOUNDED
1,Cereal,10,RICE PARBOILED MILLED
1,Cereal,11,RICE RAW HANDPOUNDED
1,Cereal,12,RICE RAW MILLED
1,Cereal,13,RICE BRAN
1,Cereal,14,RICE FLAKES
1,Cereal,15,RICE PUFFED
1,Cereal,16,SAMAI
1,Cereal,17,SANWA MILLET
1,Cereal,18,VARAGU RAW
1,Cereal,19,WHEAT BULGAR PARBOILED
1,Cereal,20,WHEAT WHOLE
1,Cereal,21,WHEAT FLOUR WHOLE
1,Cereal,22,WHEAT FLOUR REFINED
1,Cereal,23,WHEAT GERM
1,Cereal,24,WHEAT SEMOLINA
1,Cereal,25,WHEAT VERMICELLI
1,Cereal,26,WHEAT BREAD BROWN
1,Cereal,27,WHEAT BREAD WHITE
2,Legumes & Pulses,28,BENGAL GRAM WHOLE
2,Legumes & Pulses,29,BENGAL GRAM DAL
2,Legumes & Pulses,30,BENGAL GRAM ROASTED
2,Legumes & Pulses,31,BLACK GRAM DHAL
2,Legumes & Pulses,32,COW PEA
2,Legumes & Pulses,33,FIELD BEAN DRY
2,Legumes & Pulses,34,GREEN GRAM WHOLE
2,Legumes & Pulses,35,GREEN GRAM DHAL
2,Legumes & Pulses,36,HORSE GRAM WHOLE
2,Legumes & Pulses,37,KHESARI DHAL
2,Legumes & Pulses,38,LENTIL
2,Legumes & Pulses,39,MOTH BEANS
2,Legumes & Pulses,40,PEAS GREEN
2,Legumes & Pulses,41,PEAS DRY
2,Legumes & Pulses,42,PEAS ROASTED
2,Legumes & Pulses,43,RAJMAH
2,Legumes & Pulses,44,REDGRAM DHAL
2,Legumes & Pulses,45,RED GRAM TENDER
2,Legumes & Pulses,46,SOYABEAN
3,Leafy vegetables,47,AGATHI
3,Leafy vegetables,48,AMARANTH CAUDATUS
3,Leafy vegetables,49,AMARANTH GANGETICUS TENDER
3,Leafy vegetables,50,AMARANTH GANGETICUS STEM
3,Leafy vegetables,51,AMARANTH PANICULATUS
3,Leafy vegetables,52,AMARANTH POLYGONOIDES
3,Leafy vegetables,53,AMARANTH SPINOSUS
3,Leafy vegetables,54,AMARANTH SPECIES
3,Leafy vegetables,55,AMARANTH SPECIES KOYAKEERAI
3,Leafy vegetables,56,AMARANTH TRISTIS
3,Leafy vegetables,57,AMARANTH VIRIDIS
3,Leafy vegetables,58,AMBAT CHUKA
3,Leafy vegetables,59,BATHUA LEAVES
3,Leafy vegetables,60,BEET GREENS
3,Leafy vegetables,61,BENGAL GRAM LEAVES
3,Leafy vegetables,62,BETEL LEAVES
3,Leafy vegetables,63,BOTTLE GOURD LEAVES
3,Leafy vegetables,64,BROAD BEAN LEAVES
3,Leafy vegetables,65,BRUSSELS SPROUTS
3,Leafy vegetables,66,CABBAGE
3,Leafy vegetables,67,CABBAGE LEAVES
3,Leafy vegetables,68,CAULIFLOWER GREENS
3,Leafy vegetables,69,CELERY LEAVES
3,Leafy vegetables,70,CELERY STALK
3,Leafy vegetables,71,CHEKKUR MANIS
3,Leafy vegetables,72,COLOCASIA LEAVES BLACK VARIETY
3,Leafy vegetables,73,COLOCASIA LEAVES GREEN VARIETY
3,Leafy vegetables,74,COLOCASIA LEAVES DRIED
3,Leafy vegetables,75,CORIANDER LEAVES
3,Leafy vegetables,76,COW PEA LEAVES
3,Leafy vegetables,77,CURRY LEAVES
3,Leafy vegetables,78,DRUMSTIK LEAVES
3,Leafy vegetables,79,FENUGREEK LEAVES
3,Leafy vegetables,80,FETID CASSIA FRESH
3,Leafy vegetables,81,FETID CASSIA DRIED
3,Leafy vegetables,82,GARDEN CRESS
3,Leafy vegetables,83,GARDEN SORREL SEPEALS
3,Leafy vegetables,84,GOGU
3,Leafy vegetables,85,IPOMOEA STEMS
3,Leafy vegetables,86,IPOMOEA LEAVES
3,Leafy vegetables,87,KNOL-KHOL GREENS
3,Leafy vegetables,88,KUPPAMENI
3,Leafy vegetables,89,LETTUCE
3,Leafy vegetables,90,LETTUCE TREE LEAVES MATURE
3,Leafy vegetables,91,LETTUCE TREE LEAVES TENDER
3,Leafy vegetables,92,MANATHAKKALI LEAVES
3,Leafy vegetables,93,MAYALU
3,Leafy vegetables,94,MINT
3,Leafy vegetables,95,MODAKANTHAN KEERAI
3,Leafy vegetables,96,MUKARRATE KEERAI
3,Leafy vegetables,97,MUSTARD LEAVES
3,Leafy vegetables,98,NERRINGI
3,Leafy vegetables,99,PARSLEY
3,Leafy vegetables,100,PARUPPU KEERAI
3,Leafy vegetables,101,PONNANGANNI
3,Leafy vegetables,102,PUMPKIN LEAVES
3,Leafy vegetables,103,RADISH LEAVES
3,Leafy vegetables,104,RADISH LEAVES TABLE
3,Leafy vegetables,105,RAPE STEM
3,Leafy vegetables,106,RAPE LEAVES
3,Leafy vegetables,107,RAPE LEAVES DRIED
3,Leafy vegetables,108,SAFFLOWER LEAVES
3,Leafy vegetables,109,SHEPU
3,Leafy vegetables,110,SPINACH
3,Leafy vegetables,111,SPINACH STALKS
3,Leafy vegetables,112,SUSNI SAG
3,Leafy vegetables,113,TAMARIND LEAVES TENDER
3,Leafy vegetables,114,TURNIP GREENS
4,Roots and tuber,115,ARROW ROOT FLOUR
4,Roots and tuber,116,BANANA RHIZOME
4,Roots and tuber,117,BEET ROOT
4,Roots and tuber,118,CARROT
4,Roots and tuber,119,COLOCASIA
4,Roots and tuber,120,KHAMALU
4,Roots and tuber,121,MANGO GINGER
4,Roots and tuber,122,ONION BIG
4,Roots and tuber,123,ONION SMALL
4,Roots and tuber,124,PARSNIP
4,Roots and tuber,125,POTATO
4,Roots and tuber,126,RADISH PINK
4,Roots and tuber,127,RADISH RAT TAILED
4,Roots and tuber,128,RADISH TABLE
4,Roots and tuber,129,RADISH WHITE
4,Roots and tuber,130,SWEET POTATO
4,Roots and tuber,131,TAPIOCA
4,Roots and tuber,132,TAPIOCA CHIPS DRIED
4,Roots and tuber,133,TURNIP
4,Roots and tuber,134,YAM ELEPHANT
4,Roots and tuber,135,YAM ORDINARY
4,Roots and tuber,136,YAM WILD
5,Vegetables,137,ASH GOURD
5,Vegetables,138,BEANS SCARLET RUNNER
5,Vegetables,139,BITTER GOURD
5,Vegetables,140,BITTER GOURD SMALL
5,Vegetables,141,BOTTLE GOURD SMALL
5,Vegetables,142,BRINJAL
5,Vegetables,143,BROAD BEANS
5,Vegetables,144,CAULIFLOWER
5,Vegetables,145,CHO CHO MARROW
5,Vegetables,146,CLUSTER BEANS
5,Vegetables,147,COLOCASIA STEM
5,Vegetables,148,COWPEA PODS
5,Vegetables,149,CUCUMBER
5,Vegetables,150,DOUBLE BEANS
5,Vegetables,151,DRUMSTICK
5,Vegetables,152,DRUMSTICK FLOWERS
5,Vegetables,153,FIELD BEANS TENDER
5,Vegetables,154,FIGS RED FICUS CUNIA
5,Vegetables,155,FRENCH BEANS
5,Vegetables,156,GHOSALA
5,Vegetables,157,GIANT CHILLIES CAPSICUM
5,Vegetables,158,JACK FRUIT TENDER
5,Vegetables,159,JACK FRUIT SEED
5,Vegetables,160,KANKODA
5,Vegetables,161,KARONDA FRESH
5,Vegetables,162,KARONDA DRIED
5,Vegetables,163,KHEKSA
5,Vegetables,164,KOVAI
5,Vegetables,165,KNOL-KHOL
5,Vegetables,166,LADIES FINGER
5,Vegetables,167,LAKUCH RAW
5,Vegetables,168,LEEKS
5,Vegetables,169,LOTUS STEM DRY
5,Vegetables,170,MANGO GREEN
5,Vegetables,171,ONION STALKS
5,Vegetables,172,PAPAYA GREEN
5,Vegetables,173,PARWAR
5,Vegetables,174,PINK BEANS
5,Vegetables,175,PLANTAIN FLOWER
5,Vegetables,176,PLANTAIN GREEN
5,Vegetables,177,PLANTAIN STEM
5,Vegetables,178,PUMPKIN FRUIT
5,Vegetables,179,PUMPKIN FLOWERS
5,Vegetables,180,RIDGE GOURD
5,Vegetables,181,SNAKE GOURD
5,Vegetables,182,SUNDAKAI DRY
5,Vegetables,183,SWORD BEANS
5,Vegetables,184,TINDA TENDER
5,Vegetables,185,TOMATO GREEN
5,Vegetables,186,VEGETABLE MARROW
5,Vegetables,187,WATER CHESTNUT FRESH
5,Vegetables,188,WATER CHESNUT DRY
6,Nuts and oil seeds,189,ALMOND
6,Nuts and oil seeds,190,ARECANUT RAW
6,Nuts and oil seeds,191,AVOCADOPEAR NUT
6,Nuts and oil seeds,192,CASHEWNUT
6,Nuts and oil seeds,193,CHILGOZA
6,Nuts and oil seeds,194,COCONUT DRY
6,Nuts and oil seeds,195,COCONUT FRESH
6,Nuts and oil seeds,196,COCONUT TENDER
6,Nuts and oil seeds,197,COCONUT MILK
6,Nuts and oil seeds,198,COCONUT WATER
6,Nuts and oil seeds,199,COCONUT MEAL DEOILED
6,Nuts and oil seeds,200,GARDEN CRESS SEADS
6,Nuts and oil seeds,201,GINGELLY SEEDS
6,Nuts and oil seeds,202,GROUNDNUT
6,Nuts and oil seeds,203,GROUNDNUT ROASTED
6,Nuts and oil seeds,204,GROUNDNUT CAKE
6,Nuts and oil seeds,205,LINSEED SEEDS
6,Nuts and oil seeds,206,MUSTARD SEEDS
6,Nuts and oil seeds,207,NIGER SEEDS
6,Nuts and oil seeds,208,PISTACHIO NUT
6,Nuts and oil seeds,209,PIYAL SEEDS
6,Nuts and oil seeds,210,SAFFLOWER SEEDS
6,Nuts and oil seeds,211,SUNFLOWER SEEDS
6,Nuts and oil seeds,212,WALNUT
6,Nuts and oil seeds,213,WATER MELON SEEDS KERNAL
7,Spices & Condiments,214,ARISITHIPPILI
7,Spices & Condiments,215,ASAFOTIDA
7,Spices & Condiments,216,CARDAMOM
7,Spices & Condiments,217,CHILLIES DRY
7,Spices & Condiments,218,CHILLIES GREEN
7,Spices & Condiments,219,CLOVES DRY
7,Spices & Condiments,220,CLOVES GREEN
7,Spices & Condiments,221,CORINDER SEEDS
7,Spices & Condiments,222,CUMIN SEEDS
7,Spices & Condiments,223,FENUGREEK SEEDS
7,Spices & Condiments,224,GARLIC DRY
7,Spices & Condiments,225,GINGER FRESH
7,Spices & Condiments,226,LIME PEEL
7,Spices & Condiments,227,MACE
7,Spices & Condiments,228,MANGO POWDER
7,Spices & Condiments,229,NUTMEG FRUIT
7,Spices & Condiments,230,NUTMEG RIND
7,Spices & Condiments,231,OMUM
7,Spices & Condiments,232,PEEPER DRY BLACK
7,Spices & Condiments,233,PEPPER GREEN
7,Spices & Condiments,234,PIPPALI
7,Spices & Condiments,235,POPPY SEEDS
7,Spices & Condiments,236,TAMARIND PULP
7,Spices & Condiments,237,TURMERIC
8,Fruits,238,AMBADA
8,Fruits,239,AMLA
8,Fruits,240,APPLE
8,Fruits,241,APRICOT FRESH
8,Fruits,242,APRICOT DRY
8,Fruits,243,AVOCADO PEAR
8,Fruits,244,BAEL FRUIT
8,Fruits,245,BANANA RIPE
8,Fruits,246,BANYAN TREE FIGS
8,Fruits,247,BILIMBI
8,Fruits,248,BREAD FRUIT
8,Fruits,249,BULLOCKS HEART
8,Fruits,250,CAPE GOOSEBERRY
8,Fruits,251,CASHEW FRUIT
8,Fruits,252,CHERRIES RED
8,Fruits,253,CURRANTS BLACK
8,Fruits,254,DATES DRIED
8,Fruits,255,DATES FRESH
8,Fruits,256,FIGS FICUS CARCIA
8,Fruits,257,GRAPES BLUE VARIETY
8,Fruits,258,GRAPES PALE GREEN VARIETY
8,Fruits,259,GRAPE FRUIT MARSHS SEEDLESS
8,Fruits,260,GRAPE FRUIT TRIUMPH
8,Fruits,261,GUAVA COUNTRY
8,Fruits,262,GUAVA HILL
8,Fruits,263,HARFAROWRIE
8,Fruits,264,JACK FRUIT RIPE
8,Fruits,265,JAMB SAFED
8,Fruits,266,JAMBU FRUIT
8,Fruits,267,KORUKKAPALLI
8,Fruits,268,LAKUCH
8,Fruits,269,LEMON
8,Fruits,270,LEMON SWEET
8,Fruits,271,LICHI
8,Fruits,272,LICHIES BASTARD
8,Fruits,273,LIME
8,Fruits,274,LIME SWEET MALTA
8,Fruits,275,LIME SWEET MOSAMBI
8,Fruits,276,LOQUAT
8,Fruits,277,MAHUA RIPE
8,Fruits,278,MANGO RIPE
8,Fruits,279,MANGOSTEEN
8,Fruits,280,MELON MUSK
8,Fruits,281,MELON WATER
8,Fruits,282,MULBERRY
8,Fruits,283,ORANGE
8,Fruits,284,ORANGE JUICE
8,Fruits,285,PALMYRA FRUIT RIPE MESOCARP
8,Fruits,286,PALMYRA FRUIT TENDER
8,Fruits,287,PAPAYA RIPE
8,Fruits,288,PASSION FRUIT
8,Fruits,289,PASSION FRUIT JUICE
8,Fruits,290,PEACHES
8,Fruits,291,PEARS
8,Fruits,292,PERSIMMON
8,Fruits,293,PHALSA
8,Fruits,294,PINE APPLE
8,Fruits,295,PLUMS
8,Fruits,296,POMEGRANATE
8,Fruits,297,PRUNES
8,Fruits,298,PUMMELO
8,Fruits,300,RAISINS
8,Fruits,301,RASPBERRY
8,Fruits,302,ROSEAPPLE
8,Fruits,303,SAPOTA
8,Fruits,304,SEETAPHAL
8,Fruits,305,STRAWBERRY
8,Fruits,306,TOMATO RIPE
8,Fruits,307,TOMATILLO
8,Fruits,308,TREE TOMATO
8,Fruits,309,WOOD APPLE
8,Fruits,310,ZIZYPHUS
9,Fish,311,AIR
9,Fish,312,ANCHOVY
9,Fish,313,BACHA
9,Fish,314,BAM
9,Fish,315,BASPATA MACHLI
9,Fish,316,BATA SMALL VARIETIES
9,Fish,317,BELEY
9,Fish,318,BHAGON FRESH
9,Fish,319,BHAGON DRIED
9,Fish,320,BHAGAN BATA
9,Fish,321,BHEKTI FRESH
9,Fish,322,BHEKTI DRIED
9,Fish,323,BHOLA
9,Fish,324,BIG JAWED JUMPER
9,Fish,325,BOAL
9,Fish,326,BOMBAY DUCK DRIED
9,Fish,327,BLUE MUSSEL
9,Fish,328,CAT FISH
9,Fish,329,CHELA
9,Fish,330,CHELA DRIED
9,Fish,331,CHINGRI SMALL DRIED
9,Fish,332,CHINGRI GODA DRIED
9,Fish,333,CHITAL
9,Fish,334,CRAB MUSCLE
9,Fish,335,CRAB SMALL
9,Fish,336,FOLUI
9,Fish,337,GHOL
9,Fish,338,GOGGLER
9,Fish,339,HERRING INDIAN
9,Fish,340,HERRING OX-EYED
9,Fish,341,HILSA
9,Fish,342,HORSE MACKEREL
9,Fish,343,INDIAN WHITING
9,Fish,344,JEW FISH KORA
9,Fish,345,JEW FISH PALLIKORA
9,Fish,346,KALABASU
9,Fish,347,KATLA
9,Fish,348,KHORSULA
9,Fish,349,KHOYRA FRESH
9,Fish,350,KHOYRA DRIED
9,Fish,351,KOI
9,Fish,352,KOOCHA MACHLI
9,Fish,353,LATA
9,Fish,354,LOBSTER
9,Fish,355,MACKEREL
9,Fish,356,MAGUR
9,Fish,357,MAHASOLE
9,Fish,358,MANDELI DRIED
9,Fish,359,MRIGAL
9,Fish,360,MULLET
9,Fish,361,MUSHI DRIED
9,Fish,362,MUSSEL FRESH WATER
9,Fish,363,MUTIJELLA DRIED
9,Fish,364,OIL SARDINE
9,Fish,365,PABDA
9,Fish,366,PANGAS
9,Fish,367,PARSEY FRESH
9,Fish,368,PARSEY DRIED
9,Fish,369,POMFRETS BLACK
9,Fish,370,POMFRETS WHITE
9,Fish,371,PRAWN
9,Fish,372,PUTI
9,Fish,373,RAVAS
9,Fish,374,RAY
9,Fish,375,RIBBON FISH FRESH
9,Fish,376,RIBBON FISH DRIED
9,Fish,377,ROHU
9,Fish,378,SARDINE
9,Fish,379,SARPUTI
9,Fish,380,SHARK
9,Fish,381,SHRIMP SMALL-DRIED
9,Fish,382,SEER
9,Fish,383,SIVER BELLY
9,Fish,384,SINGHALA
9,Fish,385,SINGHI
9,Fish,386,SOLE
9,Fish,387,SOLE MALAHAR
9,Fish,388,SURMAI FRESH
9,Fish,389,SURMAI DRIED
9,Fish,390,TAPRA DRIED
9,Fish,391,TAPSI DRIED
9,Fish,392,TARTOOR
9,Fish,393,TENGRA FRESH
9,Fish,394,TENGRA DRIED
9,Fish,395,TUNNY
9,Fish,396,WHITE BAIT
10,Meats & Poultry,397,BEEF MEAL
10,Meats & Poultry,398,BEEF MUSCLE
10,Meats & Poultry,399,BUFFALO MEAT
10,Meats & Poultry,400,DUCK
10,Meats & Poultry,401,EGG DUCK
10,Meats & Poultry,402,EGG HEN
10,Meats & Poultry,403,EGG TURTLE
10,Meats & Poultry,404,FINCH
10,Meats & Poultry,405,FOWL
10,Meats & Poultry,406,GOAT MEAT LEAN
10,Meats & Poultry,407,GREY QUAIL
10,Meats & Poultry,408,LIVER GOAT
10,Meats & Poultry,409,LIVER SHEEP
10,Meats & Poultry,410,MUTTON MUSCLE
10,Meats & Poultry,411,PIGEON
10,Meats & Poultry,412,PORK MUSCLE
10,Meats & Poultry,413,RUFF AND REEVE
10,Meats & Poultry,414,SNAIL SMALL
10,Meats & Poultry,415,SNAIL BIG
10,Meats & Poultry,416,TURTLES MEAT
10,Meats & Poultry,417,VENISON
11,Milk and Milk products,418,MILK ASS'S
11,Milk and Milk products,419,MILK BUFFALO'S
11,Milk and Milk products,420,MILK COWS
11,Milk and Milk products,421,MILK GOAT'S
11,Milk and Milk products,422,MILK HUMAN
11,Milk and Milk products,423,CURDS COW'S MILK
11,Milk and Milk products,424,BUTTER MILK
11,Milk and Milk products,425,SKIMMED MILK LIQUID
11,Milk and Milk products,426,CHANNA COW'S MILK
11,Milk and Milk products,427,CHANNA BUFFALOS MILK
11,Milk and Milk products,428,CHEESE
11,Milk and Milk products,429,KHOA WHOLE BUFFALO MILK
11,Milk and Milk products,430,KHOA SKIMMED BUFFALO MILK
11,Milk and Milk products,431,KHOA WHOLE COWS MILK
11,Milk and Milk products,432,SKIMMED MILK POWDER COWS MILK
11,Milk and Milk products,433,WHOLE MILK POWDER
12,Fats and edible oil,434,BUTTER
12,Fats and edible oil,435,GHEE COW
12,Fats and edible oil,436,GHEE BUFFALO
12,Fats and edible oil,437,HYDROGENATED OIL FORTIFIED
12,Fats and edible oil,438,"COOKING OIL GROUNDNUT,GINGELLY,PALMOLEIN,MUSTARD,COCONUT"
13,Sugar,439,SUGARCANE
13,Sugar,440,HONEY
13,Sugar,441,JAGGERY CANE
13,Sugar,442,JAGGERY COCONUT PALM
13,Sugar,443,JAGGERY DATE PALM
13,Sugar,444,JAGGERY FAN PALM
13,Sugar,445,JAGGERY SAGO PALM
13,Sugar,446,SAGO
14,Beverages (Alcoholic),447,PACHWAI ASSAM
14,Beverages (Alcoholic),448,TODDY FERMENTED
14,Beverages (Alcoholic),449,TODDY SWEET
15,Beverages (Non-Alcoholic),450,NEERA
15,Beverages (Non-Alcoholic),451,SUGARCANE JUICE
